name,location,suburb,beach_type,rating,return_visit,tags,vibe,review,related_walks,visited,other_names,latitude,longitude
Long Beach,Northern Beaches,Clareville,"Harbour Beach, Pittwater Harbour",3,Yes,"BBQ, Crystal Water","Book Readers Delight, Kids & Families Only","There are a lot of children be warned! It’s a super cute beach. It faces onto pittwater harbour so it's really protected, literally the flattest water I've ever seen. I would come back on a weekday when there is less people because it's definitely family day out and kids party vines there. There are bbqs and lots of different areas to chill, tables, grass, sand big trees, I like it but the screaming children was just a bit overwhelming. I would love to come back and SUP, going all in-between all of the boats would be a delight!",,Visited,Clareville Beach,-33.63433484,151.31130773640888
Taylors Beach,Northern Beaches,Clareville,"Harbour Beach, Pittwater Harbour",1,No,,Not Worth your Time,Its mostly a Wharf (albeit a very nice Wharf) and a little sliver of sand. Seems more like a fishing spot instead. Jelly blubbers though! ,,Visited,,-33.63535268,151.3057759021332
Newport Beach,Northern Beaches,Newport,"Ocean Pool, Surf Beach",6,Yes,"BBQ, Cafe","Intimidatingly Large, Visit with Mates","I love Newport, this is where I had the thought that if I ever move out to the suburbs it might be the northern beaches? Wow I could not imagine writing that a year ago. Love this beach tho, you know I love a little sand dune natural vegetation entrance. Something about the way that the colours of the orange sand looked against the sky and the bright yellow and red of the massive number of slsc just looked amazing. I went on a Sunday late arvo and it seems like the make the slsc a pub and they were running a raffle, I loved hearing everyone up there laughing it felt like a true community spirit, great vibes! There were also massive masions on the beach obviously and one with a hot tub that was almost sat on the beach. Jealousy slay!",,Visited,,-33.65290251,151.32283957619023
Bungan Beach,Northern Beaches,Newport,Surf Beach,7,Yes,,"Chill, It's Giving Secret Beach, THE DRAMA, They make you work for it, Visit with Mates","This is literally my new favourite beach. This is a God tier spot! I'm so excited that I found this, it's literally thr biggest hidden/unknown beach I've ever been to. The fucking DRAMA of this beach, the steep steep cliffs, the literal rainforest that you walk through that opens up and BAM there is the beach, the high contrast of all the colours here. WOW! It is so hard to find if you dont know where you're going. For the love of God, DO NOT drive down the steep road that google maps will tell you to drive down, park on the street above. It looks like a driveway because it is! I almost got stuck down there and my car had smoke coming out trying to get back up that hill. You can walk down this road tho, or follow the street around to above where the sls are. Literally on this beach there were just a bunch of surfers and some people with their dogs. For 5.30 on a Sunday there was hardly anyone! Honestly come here if you want to cuddle with a significant other, its so romantic. On the beach there is literally just the sls and all of the natural vegetation. It feels RUGGARD. Also it's a bitch to get back up as it's v steep, but worth it x1000",,Visited,,-33.66745063,151.31851331284446
Mckliver's Ladies Baths,East,Coogee,Ocean Pool,7,Yes,"Crystal Water, Paid","Book Readers Delight, Chill, It's Giving Secret Beach, Stepping Back in Time","Honestly slay. I love this place for the gals and the gals only! The water in the pool is so clear and there are tiny little schools of fishies swimming around. I love how they incorporated all of the natural rock formations into the pool and i love that there are so many little spots on rocks to purchase yourself on. You can go topless and it's just a really nice vibe with only women and children. Even the women that greet you at the door are so lovely (I think they're volunteers as well?) It is $2.50 to enter, normally I'm a big no no on paying to go in the ocean but it's so reasonable that I feel like it's fine! I feel like a mermaid here and I love that feeling!",,Visited,,-33.92411834,151.2593858
Wylie's Baths,East,Coogee,Ocean Pool,6,Yes,"Cafe, Crystal Water, Paid","Book Readers Delight, Chill, Stepping Back in Time, The Place to be Seen","Slightly further up from McKliver’s is Wylie’s. I’m pretty fine occasically paying $2.50 to swim, but I’m totally not fine to pay $6! Entrance fee is too high considering this is essentially the same vibe as Clovelly, which continues to be free? It is really nice in there, I love the retro feel of the grandstand over the rocks and the slanted concrete. I like being able to move from sun to shade and the pool is actually an incredible size, it’s huge! I like the look of the cafe too, it is really a beautiful outlook, but $6!!! for the ocean!! ",,Visited,,-33.92558046,151.25957137737797
Ivo Rowe Rock Pool,East,South Coogee,Natural Rock Pool,7,Yes,,"Book Readers Delight, Chill, It's Giving Secret Beach","This is so stunning! It’s a natural rock pool that is such a perfect shape, it’s so calm to swim in. It can be a bit sketchy getting down there, but honestly just grow up it’s fine. There was hardly anyone there on a hot day! This is also where the Bondi-Coogee walk should end because it keeps going right up until the mansions that are here. I got hit on by a cute guy there so I have good associations (hey Jack! sorry my rizz is not up to standard at the moment).  ",,Visited,,-33.93323574,151.26212127690042
Rob Walker Rock Pool,South East,Maroubra,Natural Rock Pool,4,Yes,,"Chill, It's Giving Secret Beach","This is a really peaceful space, I even spotted someone there paiting on plein air. It’s confusing to get down to as google maps has not figured out where the path is, but I loved all of the different patterns and rock formations around here. Also hardly anyone around!  ",,Visited,,-33.93761802,151.25986672810623
Mahon Pool,South East,Maroubra,Ocean Pool,6,Yes,,"THE DRAMA, Visit with Mates",An unexpected slay! Love the vibes here. Was busy at 5pm with heaps of people chilling on the rocks near the pool and in the park above it. I love that they have a little pool community library too! It was a very dramatic setting especially with the big swell coming up. ,,Visited,,-33.94284058,151.26392470566637
Easton Churchill Rock Pool,South East,Maroubra,Natural Rock Pool,1,No,,Not Worth your Time,"This one was a bit of a disappointment, it’s super hidden away but it’s also really exposed on the cliff edge so it gets the full force of the ocean and the wind. I think that it would be better on a calmer day (I went when there was really big swell). When I was there you basically couldn’t swim in it or you expose yourself to getting washed away. But I think it would be pretty nice on a calm day if Mahon pool gets a bit too busy! ",,Visited,,-33.9451416,151.2617094273098
Blackwoods Beach,South,Cronulla,Surf Beach,6,Yes,,"Book Readers Delight, Chill, It's Giving Secret Beach, They make you work for it","Girlies paradise. You have to climb down/through some rocks to get there and the best bit about it is that it’s so protected. It was blowing a gale force around this beach but you can nestle in between the rocks and have it be really calm. I like that all of the rocks are littered among the shore, it ads a lot of visual intrigue. ",Cronulla Beach Walk,Visited,,-34.06016926,151.15742354622208
Cronulla Beach,South,Cronulla,Surf Beach,2,No,"Bars, Cafe, Dog Beach","Intimidatingly Large, Visit with Mates",Cronulla is honestly so bit it’s totally overwhelming. The sand is so beautiful and white and stretches on forever but it’s just soooo big that there isn’t really a vibe happening. I’m sure it’s great for surfing but I wouldn’t come here when you could be at South Cronulla. ,Cronulla Beach Walk,Visited,"Greenhills Beach, Dog Beach, Wanda Beach, Elouera Beach,  Kyjembren Beach",-34.03665104,151.17213526211432
Shelly Beach Cronulla,South,Cronulla,"Bay, Ocean Pool",3,No,"BBQ, Cafe","Book Readers Delight, Chill","This is similar to Oak Park but not as nice. I do like all the rock formation around but it just has a bit less of a vibe. Nothing actually wrong with it, I just prefer Oak Park! The beach is a bit meh, but the pool looks fine! I do like the pavilion that is there though. ",Cronulla Beach Walk,Visited,,-34.06403909,151.15549361285875
Oak Park Beach,South,Cronulla,"Bay, Ocean Pool",6,Yes,BBQ,"Book Readers Delight, Chill","Hell yeah, this ocean pool is stunning. Honestly the whole Cronulla coastal walk is criminally underrated. There is s super cute small strip of beach that leads into the ocean pool, and people chilling on the grass as well. Loved the vibes here + the pool looks so clear and clean.",Cronulla Beach Walk,Visited,,-34.07044494,151.15740941750903
Blues Point Beach,North Shore,McMahons Point,"Harbour Beach, Sydney Harbour",4,Yes,"NYE Fireworks Slay, Not on a Map","Chill, THE DRAMA","This beach isn’t even on the map, I only spotted it when I was on the ferry to McMahons Point. You literally could not have better views of the bridge and opera house, this is literally the pinnacle, like it actually doesn’t look real. I think this beach is only visible in low tide as well ~ exclusive ~ ",Spit to Manly Walk,Visited,,-33.84984523,151.20389076129842
Winton Beach,Northern Beaches,Clontarf,"Harbour Beach, Sydney Harbour",7,Yes,Crystal Water,"Chill, It's Giving Secret Beach, Romantic","The water here is off chops, it's so beautiful. It's a little Oasis for people to park up their boats. There were people playing ball games in between the sand and the boats and it was a vibe. You cam chill on the sand or on rocks and it's really just so stunning ",Spit to Manly Walk,Visited,"Isolodes Beach, Wessels Beach",-33.81071543,151.2547864626448
Washaway Beach,Northern Beaches,Balgowlah Heights,Bay,6,Yes,Nudist,"Chill, It's Giving Secret Beach, NSFW, THE DRAMA, They make you work for it","So you’re going to be doing some bush bashing to get down to this one, hopefully less than me because I got lost. The path isn’t marked but when you see the fox control sign just begin following the path. I knew that I was in for something good because a group of teens passed me as they were leaving the beach warning me that there was a weird nudist beach there and that I should turn around. The drama is real with this one, after the bush bashing you come to a steep cliff face that you need to climb down in order to get down to the beach. When you’re there it’s pretty remarkable, it faces straight through the headland to the ocean. If you go on a weekend there are boat races happening far out but still right in front of the beach. Oh yeah also it’s a nudist beach. It was really really relaxed and a great vibe. There are also some aboriginal rock carvings nearby which are definitely worth checking out. ",Spit to Manly Walk,Visited,,-33.81486576,151.26392644242745
Reef Beach,Northern Beaches,Balgowlah Heights,"Harbour Beach, Sydney Harbour",2,No,,"Book Readers Delight, Chill","Ehh, probably a miss for me. The sand was not that nice and full of shells and barnacles and the water was looking a bit ick. Also there was a weird fishy smell that was a bit offputting.",Spit to Manly Walk,Visited,,-33.80754007,151.27449320623245
Forty Baskets Beach,Northern Beaches,Balgowlah Heights,"Harbour Beach, Jetty Pool, Sydney Harbour",1,No,"BBQ, Shark Nets",Kids & Families Only,"Yeah this is not it, weird smell, just a pier with some nets. It would be good if you had small kids. There are bbqs tho!",Spit to Manly Walk,Visited,,-33.80236826,151.2738576327518
Silver Beach Marina,Northern Beaches,Balgowlah,"Harbour Beach, Sydney Harbour",1,No,,Not Worth your Time,"This is literally just a tiny strip of sand in between a sailing club and the Marina, definitely wouldn't go out of my way to come here, I also wouldn't love to swim in the Marina water. But you can get a close up to boats tgat are being worked on.",Spit to Manly Walk,Visited,,-33.79924339,151.27192514067124
Dirty Haul Beach,Northern Beaches,Balgowlah,"Harbour Beach, Sydney Harbour",1,No,,Not Worth your Time,This is as close as I could get to the beach through bush bashing. I couldn't find any way down. Seems like the houses built above it have colonised this beach into a private beach. It looks really pretty but it gets a 1 for exclusion.,Spit to Manly Walk,Visited,,-33.79753672,151.26905251346668
Yarra Bay,South East,Phillip Bay,Bay,3,Yes,"BBQ, Crystal Water","Chill, Visit with Mates","This place is so weird. It’s literally a pristine beach, like the water is sparkling it has white sand that gently fades into super blue/ light water and it’s but it’s totally surrounded by shipping facilities. It seems so bizarre to have these so close to the city? Like I get that they’re near the airport but like, how are we not building housing here? I also picked up some beautiful shells, I did have to minus a point because I saw a dead seagull on the sand through. ",,Visited,,-33.98015999,151.22818566598792
Frenchman's Beach,South East,La Perouse,Bay,3,Yes,"BBQ, Cafe, Crystal Water",Kids & Families Only,"This beach is a very similar vibe to Yarra Bay, except that when I arrived there there were about 20 police/ambulance personnel there to carry a body off the beach. What happened to the body? Have I walked into a murder scene or is it something to do with the beach?? We will never know. I just cant get over all of the shipping and construction around, it really ruins the vibe. Good water here though!",,Visited,,-33.98531625,151.23172996270927
Congwong Beach,South East,La Perouse,Bay,6,Yes,"Cafe, Crystal Water",Chill,It's giving budget camp cope vibes. It's the family friendly version of Little Congwong. Surrounded by natural vegetation (we love) and you can also see the sandstone castle which is pretty unique. There are some reefs here so makes the water look GREAT. Fun tip: The park next door to Congwong (I think) is one of the only places that you can watch the sunset directly over the ocean. ,Cape Bank Walking Track,Visited,,-33.9890283,151.2352100539302
Little Congwong Beach,South East,La Perouse,Bay,6,Yes,"Crystal Water, Nudist","NSFW, THE DRAMA, The Place to be Seen","Someone was having a fucking laugh with this name, Congwong for a nudist beach? revolutionary! I don’t know if I was extra sensitive on this day because I got my IUD yesterday or not but I definitely felt like I got a few weird double takes from men here. Maybe because it’s probably the most well known nudist beach in Sydney? Anyway, there were heaps of men (duh) but also quite a few women on their own which was a slay. I want to petition for more women to hit up nudist beaches so that we can take them back from the old men. Anyway, other than that this is actually a fucking stunning beach. You have to take a bush track to get there from Congwong which is cute and there is chalk writing all over the steps which I enjoyed. It was super busy for a random Tuesday afternoon so would be interested to see what it’s like on the weekend. There were also a few people smoking weed and a lot of people disapearing in and out of the bushes around, so it seems like anything goes here, even that one cunt at the beach by himself playing 2009 house on full blast. Cool being able to see the Bare Island fort and bridge out to the adjacent island, adds a lot of ~ visual intrigue ~",Cape Bank Walking Track,Visited,,-33.99143225,151.2386916590828
Cruwee Cove Beach,South East,La Perouse,"Bay, Natural Rock Pool",1,No,,"Not Worth your Time, They make you work for it","Look is this a beach? I think it’s a bit of a stretch. It’s more like rockpools with a small stretch of sand on it. The easiest way to get there is to walk (which includes a bit of bush bashing) from the road about 15 mins before you get there. It’s a beautiful walk along the headland barring the fucking golf course. Imagine bulldozing hectares of natural bushland not for housing, but for unsustainabe grass that supports no wildlife and is only there for rich boomers to hit a ball around once every few weeks. There are signs along this track telling walkers to give way to golfers, literally get fucked. Anyway, I enjoyed the rockpools here but I wouldn’t come back unless I was stopping while doing the Cape Bank’s Circuit walk. ",Cape Bank Walking Track,Visited,,-33.99739326,151.2455921945954
Station Beach,Northern Beaches,Palm Beach,"Harbour Beach, Pittwater Harbour",2,Yes,"Bars, Cafe","Book Readers Delight, Chill","Pelicans!! Very chill, lots of seaweed and debris, right next to boathouse, more so used as the trail up to the lighthouse rather than as a beach but there were definitely some people swimming.",Barrenjoey Light House Walk,Visited,,-33.58481562,151.32489787758513
Palm Beach,Northern Beaches,Palm Beach,"Ocean Pool, Surf Beach",6,Yes,"BBQ, Bars, Cafe","Backpacker's love it, Chill, Intimidatingly Large, Visit with Mates","Famous for a reason, ya know? I would definitely come to the Northfield of it rather than the south, it gives cenny coast vibes. Although if you gi to the north you can't avoid the paid parking, pittwater council really needs a parking reality check $10 ph continues to be criminal and it's crawling with inspectors unfortunately.",Barrenjoey Light House Walk,Visited,,-33.58532229,151.3262479
Barrenjoey Beach,Northern Beaches,Palm Beach,"Harbour Beach, Pittwater Harbour",1,No,Cafe,Not Worth your Time,"another golf course rant, bad beach. Photos make it look really good but it's not actually",,Visited,,-33.59047166,151.32105120270643
Snapperman Beach,Northern Beaches,Palm Beach,"Harbour Beach, Pittwater Harbour",5,Yes,"Bars, Cafe, Crystal Water, Dog Beach","Book Readers Delight, Chill, It's Giving Secret Beach","One of the houses that faces onto this beach is very fun parents, check out that slide. Crystal clear water, extreme chill, thin strip of sand for dogs and people. Come here to really to really really relax.",,Visited,,-33.59924371,151.31783661580982
Sandy Beach,Northern Beaches,Palm Beach,"Harbour Beach, Pittwater Harbour",1,No,,Not Worth your Time,"Not really a beach for people, mostly just a bunch of private wharfs for boats but also sea planes! You can see some of the sea planes landing as well.",,Visited,,-33.60493629,151.3205259870784
Whale Beach,Northern Beaches,Whale Beach,"Ocean Pool, Surf Beach",5,Yes,"BBQ, Cafe","Chill, THE DRAMA, Visit with Mates","mouses beach house, van life city, maxo relaxo 
My friend Mouse in high school used to have a beach house down here, I used to think it was so far, and now I'm realising how short my attention span was. This beach is giving big van life energy, there were quite a few people lounging in their vans and I loved the vibe. It was proper maxo relaxo. It looked v similar to alot of the Surf beaches in the northern beaches, so, great!",,Visited,,-33.61117337,151.3308399389678
Paradise Beach,Northern Beaches,Avalon,"Harbour Beach, Jetty Pool, Pittwater Harbour",3,Yes,,Chill,"It's fine! Nothing to write home about but the wharf is a comfyish place to lie down. Sand is a bit brown, but it's a v cosy size.",,Visited,,-33.62437367,151.31695353683432
Whiting Beach,North Shore,Mosman,"Harbour Beach, Sydney Harbour",4,Yes,"Dog Beach, NYE Fireworks Slay","It's Giving Secret Beach, Romantic","Bush walk, near the zoo, dog beach, shells to collect but also a bit of glass, water not amazing but surrounded by bushland, all you can hear is birds and crashing water. City skyline views.",,Visited,,-33.84424074,151.23808454946848
Taronga Beach,North Shore,Mosman,"Harbour Beach, Sydney Harbour",2,No,"NYE Fireworks Slay, Not on a Map","It's Giving Secret Beach, Not Worth your Time","Beach not displayed on map or in any signs. Has a weird gate you have to pass through and then you come upon a sign saying that there are a lot of syringes everywhere. Anti-slay, albeit with a pretty nice view! But this beach does not appear on any maps so it’s also secret beach certified I guess. ",,Visited,,-33.84561385,151.24178231250588
Chowder Bay,North Shore,Clifton Gardens,"Harbour Beach, Jetty Pool, Sydney Harbour",3,No,"BBQ, Cafe, Shark Nets",Kids & Families Only,The park that adjoins the beach is probably (definitely) nicer than the beach. ,,Visited,,-33.83856425,151.25367666103313
Little Manly,Northern Beaches,Manly,Harbour Beach,5,Yes,"Cafe, Shark Nets",,"The locals side of manly, you can tell because everyone walking in was sans shoes. Cute little cafe, and all the children are separated because there is a section with nets.",,Visited,,-33.80659248,151.28645889875878
Collins Flat Beach,Northern Beaches,Manly,"Harbour Beach, Sydney Harbour",7,Yes,Crystal Water,"Backpacker's love it, Romantic, Visit with Mates","Every single group here was speaking Spanish! They know what's up, it's  such a vibe, crystal water, surrounded by bushland, has a waterfall. Sand does have allt of shells, great if you like shells, bad if you like walking. Maps does not know where this beach is but if you drive to the end of Stuart Street you can access it by a 5 min walk from there.",,Visited,,-33.80811178,151.29264320571943
Redleaf Pool,East,Double Bay,"Harbour Beach, Jetty Pool, Sydney Harbour",6,Yes,"Cafe, Shark Nets","Book Readers Delight, Chill","Such a great time, I'm obsessed with the floating pontoons, this feels like such a human scale beach. There is a cute cafe that you can sit at and still look over the beach. There was no children, can go and lie on the jetty and you can also teak a break from the sun under the trees. The grass is kind of gross though for some reason.",,Visited,"Seven Shillings Beach, Murray Rose Pool",-33.87131416,151.24759607893884
Kurnell Beach,South,Kurnell,"Botany Bay Harbour, Harbour Beach",4,Yes,Crystal Water,"Book Readers Delight, Chill, It's Giving Secret Beach, They make you work for it","Such a weird place. Literally crystal clear water, white sand, would be the most peaceful beach in Sydney if it wasn't for all the planes. But honestly I'm quite enjoying watching them, they're low enough that you can see the details on them. Botany Bay Harbour water is so calm. Also you literally have a city skyline and shipping containers view from here. It’s honesty a real experience. ",,Visited,,-34.00836297,151.18786504564807
Silver Beach,South,Kurnell,"Botany Bay Harbour, Harbour Beach",5,Yes,"Cafe, Crystal Water, Dog Beach, Shark Nets","Book Readers Delight, Chill","Sydney's best dog beach. Dogs would love to be here, super still water very characteristic of Botany Bay. It's a really large beach but it's comprised of inlets so it still feels human sized. The dog beach and the baths have the best vibe, or uf you want something super secluded with a partner you cpuld visit one of the others. It also has crystal clear water on a clear day. If you walk down the length of the beach you will come to the Captain Cook obelisk commemorating European invasion, they will make it seem as though you have to drive into the national park and pay the park fee but that's some colonialist bullshit, you can just walk down the beach.",,Visited,,-34.00807095,151.20200079981194
Gunnamatta Bay Baths,South,Cronulla,"Botany Bay Harbour, Harbour Beach, Jetty Pool",3,No,,Kids & Families Only,"I like the little pontoons that are below the jetty. It look’s pretty idyllic, but it’s best suited for those below the age of ten and those above 70. I love how freaking iconic these beach pavilions are in Cronulla though. ",,Visited,,-34.05876111,151.14829479237082
Vanston Baths,South,Sandringham,"Botany Bay Harbour, Harbour Pool",2,No,,Not Worth your Time,"I don’t know whats going on here, it could be kind of a vibe if there were a bunch of people here, but it seems kind of sad with hardlhy anyone. Also I don’t understand the sand bags, like, literally anything else there would have been better. ",Ramsgate Walking Path,Visited,,-34.00028202,151.14137459289879
Doll’s Point Beach,South,Dolls Point,"Botany Bay Harbour, Harbour Beach",3,No,,Chill,"Very nice sand, and a lot of it. There’s not really a lot of character though. Nice walk tho? It feels very exposed. But one of the best and most affordable acai bowls is nearby, $14! ",,Visited,Elephants Back Beach,-33.99626796,151.14711420355974
Turimetta Beach,Northern Beaches,Warriewood,Surf Beach,7,Yes,,"Chill, It's Giving Secret Beach, THE DRAMA, Visit with Mates","Mini bungan, big Park above it that paragliding were lauching from, feels so secluded, again a really big secret beach, easy parking bc hardly anyone there ",,Visited,,-33.69905082,151.30950467202814
Church Point Beach,Northern Beaches,Church Point,"Harbour Beach, Pittwater Harbour",2,No,Bars,"Chill, Romantic",#NAME?,,Visited,,-33.64403648,151.2890567233908
Fisherman's Beach,Northern Beaches,Collaroy,Bay,4,Yes,,"Book Readers Delight, Chill","Actually been here before, jordies house,  when it's not covered in debris from the storm drain its great",,Visited,,-33.73674611,151.30660877126022
Long Reef Beach,Northern Beaches,Collaroy,Surf Beach,5,Yes,BBQ,Visit with Mates,"Again, feelsnlike a beach outside of Sydney, not sure hie many times I can say that before I admit that maybe I just don't know what sydney beaches look like. There seemed to be a big culture of sand boarding down the mini dunes here which was cute, I liked that there's no houses facing onto it really, also that have an obscurely beautiful and modern slsc building. North end if Dee Why ",,Visited,,-33.74571661,151.30347397816973
Penrith Beach,West,Penrith,Lake,4,Yes,Cafe,"Kids & Families Only, Visit with Mates","I mean it's nicknamed Pondi. Okay but seriously, I actually had pretty low expectations for this spot. I mean it is definitely a lake not a beach but the list is sorely lacking in western Sydney representation. It's actually a really nice setting with the mountains in the background. I mean it's shipped in sand so the sand is quite shit, but this would be a really fun place to visit with friends if you all brought SUPs or blow ups (which a group of people did do and I was v jealous). Although there are alot of kids and families there is enough space to get that distance. ",,Visited,,-33.69431063,150.67686994371357
Queen's Beach,East,Vaucluse,"Harbour Beach, Sydney Harbour",5,Yes,NYE Fireworks Slay,"Book Readers Delight, Chill, It's Giving Secret Beach, Romantic","Bit dirty, beautiful scene, good flora, Hermitage beaches all slay but ha e similar vibe. The pictures make the bridge look really small and unimpressive but it actually.looks quite close.",,Visited,,-33.86122337,151.26848899749953
Rose Bay Beach,East,Rose Bay,"Harbour Beach, Sydney Harbour",5,Yes,"Cafe, Dog Beach, NYE Fireworks Slay","Book Readers Delight, Chill","Dare I say a bit of an unexpected slay? Dog Beach, super white sand, sand bank when I was there, harbour Bridge is closer than it looks in pictures. Boothby beach is allegedly a different beach but it's really just the other side of this beach. Do not enter on the boothy beach side, its a but icky.",,Visited,,-33.86831223,151.26857126807118
Bellamy Beach,East,Rose Bay,"Harbour Beach, Sydney Harbour",1,No,,Not Worth your Time,"It’s a no from me, it’s dark and has gross sand.",,Visited,,-33.86936977,151.25388074639454
Lady Martin's Beach,East,Point Piper,"Harbour Beach, Sydney Harbour",6,Yes,,"Book Readers Delight, Chill, It's Giving Secret Beach, Romantic","This is the definition of a beach that I’m sure the point piper residents refer to a private beach, BUT IT’S NOT! It’s a weird one to get to, you need to go down a bunch of hidden paths if you’re walking there really small and you need to duck under a yacht club jetty, but when you arrive there it’s a freaking vibe. It’s set against beautiful sandstone walls and all of the boats are about a stones throw away which gives it a lot of character. It’s cute watching all the ferries go past and I even was taken back by the heavy bass from a cruise ship entering the harbour. It’s right next to a sea plane landing spot too so you feel like you’re living in a tiny little toy city. CUTE! I was literally within supping distance of shark Island and the one beach I can't get to. Teaser!",,Visited,,-33.86483588,151.25407873110422
The Planespotting Beach,South East,Mascot,"Botany Bay Harbour, Harbour Beach",2,No,,Not Worth your Time,"These beaches are getting weird. I wouldn't come back to this beach but it was kind of cool to see the planes so up close taking off and landing. You can also see alot of people kitesurfing when it's windy, but the actual beach is hella gross and you couldn't pay me to get in the water there.",,Visited,,-33.94691367,151.17109160407054
Foreshore Beach,South East,Botany,"Botany Bay Harbour, Harbour Beach",1,No,,Not Worth your Time,Look it's a similar vibe to the planespotting beach but tbh it's worse and the view is further away.,,Visited,,-33.95488958,151.19488843239415
Brighton-Le-Sands,South,Brighton-Le-Sands,"Botany Bay Harbour, Harbour Beach",3,Yes,"Bars, Cafe, Crystal Water, Dog Beach, Shark Nets","Chill, Intimidatingly Large, Stepping Back in Time","I question my decision to go on a semi cold Wednesday afternoon. There was not a great vibe but I also didn't really give it a chance. It's definitely too big, but I do appreciate what they have done to make more of a promenade in the centre of it to give people a better chance at wayfinding there. In terms of the sand it's pure white, and it's also fun getting to see the planes landing and the kite surfers as well, but look I still didn't love it. I enjoyed rollerblading the promenade where you could more than being at the beach. I will say this though, in terms of interesting architecture from different periods, you will find it here closer to the north end, and that's a slay in my book.",,Visited,"Lady Robinson,  Monterey,  Kyeemagh",-33.96137594,151.15470954181433
Store Beach,Northern Beaches,Manly,"Harbour Beach, Sydney Harbour",6,Yes,Crystal Water,"It's Giving Secret Beach, Romantic, They make you work for it",ONLY ACCESSED BY SEA - Can take a SUP from Little Manly to get there,,Visited,,-33.81213284,151.2890087545775
Shark Island Beach,East,Shark Island,"Harbour Beach, Sydney Harbour",,,,,"ONLY ACCESSED BY SEA - I tried to sail there but it was too windy to dock at the ferry stop. I’M SORRY, here is a picture of it but my feet did not hit the sand so I simply cannot count it yet.",,No,,-33.85881899,151.2582682366108
